"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:3459","breast carcinoma","70/843","383/8007",2.02978408903309e-06,0.00160758899851421,0.00142512209198429,"249/301/8289/1386/54998/573/771/857/595/100133941/999/1026/1029/1191/1312/1435/10217/7852/1789/1956/1958/2023/2051/2052/2247/2321/3169/2294/27086/6624/2950/55662/3198/10855/3488/8516/3738/3815/3856/3958/9500/5594/4233/4524/10/4683/4780/4824/8829/10133/5591/5728/27330/6304/10371/6513/6548/6591/8835/6678/412/6850/7015/7020/57646/7415/7421/7431/4904/9839",70
"DOID:3908","non-small cell lung carcinoma","74/843","431/8007",1.09642386885844e-05,0.00434183852067941,0.00384902484488725,"9429/8289/55210/9212/8553/650/659/857/135228/100133941/3732/999/1026/1029/1138/1272/1400/1490/7852/1545/54541/10395/1748/1789/1845/1889/2202/1956/8667/1984/2023/2034/4072/2051/2113/2139/2264/2321/6624/8326/2697/2719/2950/3162/3219/3315/3815/1316/3856/3958/5594/4233/4524/1728/9423/10215/50855/5052/5728/5915/8434/388/5272/6422/6513/6678/7015/7980/7048/7049/3371/7421/10163/4904",74
"DOID:4645","retinal cancer","28/843","118/8007",2.59728301394321e-05,0.00685682715681008,0.00607855358000043,"8125/367/652/657/659/595/9134/1020/1026/1029/1191/4072/10082/2969/3065/10855/3488/3757/9682/9928/3856/5594/4524/4548/4683/7015/7020/7048",28
"DOID:768","retinoblastoma","27/843","116/8007",5.17893344607236e-05,0.00820343057857861,0.00727231286006371,"8125/367/652/657/659/595/9134/1020/1026/1029/4072/10082/2969/3065/10855/3488/3757/9682/9928/3856/5594/4524/4548/4683/7015/7020/7048",27
"DOID:771","retinal cell cancer","27/843","116/8007",5.17893344607236e-05,0.00820343057857861,0.00727231286006371,"8125/367/652/657/659/595/9134/1020/1026/1029/4072/10082/2969/3065/10855/3488/3757/9682/9928/3856/5594/4524/4548/4683/7015/7020/7048",27
"DOID:3996","urinary system cancer","80/843","500/8007",6.55242138015307e-05,0.00864919622180206,0.00766748256238965,"1636/54443/301/367/8289/10409/659/811/857/595/100133941/958/3732/999/1026/1029/4435/1191/1490/56998/7852/1545/10395/1789/1843/1942/1956/1958/2034/4072/2138/2247/2321/6624/2950/55662/3123/10855/3315/3400/3487/3488/3566/3815/1316/3958/8379/10459/5594/4233/4249/4311/4524/4548/4683/4780/28512/8829/11315/5216/5364/23532/5583/5590/5728/5915/6422/6513/6591/7015/7980/7048/7049/3371/7159/94015/7421/7431/79844/677",80
"DOID:0060116","sensory system cancer","30/843","139/8007",9.12668907657763e-05,0.00903542218581185,0.00800987054483853,"8125/367/652/657/659/595/9134/1020/1026/1029/1191/4072/10082/2969/3065/10855/3488/3757/9682/9928/3815/3856/5594/4524/4548/4683/23532/7015/7020/7048",30
"DOID:2174","ocular cancer","30/843","139/8007",9.12668907657763e-05,0.00903542218581185,0.00800987054483853,"8125/367/652/657/659/595/9134/1020/1026/1029/1191/4072/10082/2969/3065/10855/3488/3757/9682/9928/3815/3856/5594/4524/4548/4683/23532/7015/7020/7048",30
"DOID:5408","Paget's disease of bone","7/843","14/8007",0.000246738392320821,0.0205267557230679,0.0181968980160637,"249/595/1435/2247/10133/7415/7421",7
"DOID:4450","renal cell carcinoma","57/843","342/8007",0.000259176208624595,0.0205267557230679,0.0181968980160637,"1636/54443/367/8289/659/857/595/100133941/1026/1029/1191/7852/10395/1843/1942/1956/2034/4072/2247/2321/6624/55662/3123/10855/3315/3487/3488/3566/3815/8379/10459/5594/4233/4311/4524/4683/4780/28512/8829/11315/5216/5364/5583/5590/5728/5915/6422/6513/7015/7980/7048/7049/3371/7159/94015/7421/677",57
"DOID:1192","peripheral nervous system neoplasm","63/843","396/8007",0.000464128999041241,0.0334172879309694,0.0296243102737328,"1386/481/9212/650/652/23261/595/100133941/1026/1029/1191/1312/7852/1843/1956/1958/2026/2034/2247/2321/3169/8321/8522/2719/2950/3162/3315/3399/3488/3570/9118/3757/3815/10365/9314/5594/4176/4683/4808/1728/11315/5187/5366/23532/5629/5664/5727/5728/8434/6513/6591/6622/6670/7015/7020/7980/3371/10626/7220/7431/10810/7473/7709",63
"DOID:263","kidney cancer","68/843","437/8007",0.000526842665736151,0.034771615938586,0.0308249173724572,"1636/54443/367/8289/10409/659/857/595/100133941/958/999/1026/1029/4435/1191/1490/56998/7852/1545/10395/1843/1942/1956/1958/2034/4072/2138/2247/2321/6624/55662/3123/10855/3315/3487/3488/3566/3815/1316/8379/10459/5594/4233/4311/4524/4683/4780/28512/8829/11315/5216/5364/23532/5583/5590/5728/5915/6422/6513/7015/7980/7048/7049/3371/7159/94015/7421/677",68
"DOID:4451","renal carcinoma","60/843","380/8007",0.000767387166856605,0.046751587396187,0.0414451206715268,"1636/54443/367/8289/659/857/595/100133941/958/1026/1029/1191/7852/1545/10395/1843/1942/1956/2034/4072/2247/2321/6624/55662/3123/10855/3315/3487/3488/3566/3815/1316/8379/10459/5594/4233/4311/4524/4683/4780/28512/8829/11315/5216/5364/5583/5590/5728/5915/6422/6513/7015/7980/7048/7049/3371/7159/94015/7421/677",60
"DOID:2621","autonomic nervous system neoplasm","59/843","375/8007",0.000926958040977063,0.0489433845635889,0.0433881412864352,"1386/481/9212/23261/595/100133941/1026/1029/1191/1312/7852/1843/1956/1958/2026/2034/2247/2321/3169/8321/8522/2719/2950/3162/3315/3399/3488/3570/9118/3757/3815/10365/9314/5594/4176/4683/4808/1728/11315/5187/5366/23532/5629/5664/5727/5728/8434/6591/6622/6670/7015/7020/7980/10626/7220/7431/10810/7473/7709",59
"DOID:769","neuroblastoma","59/843","375/8007",0.000926958040977063,0.0489433845635889,0.0433881412864352,"1386/481/9212/23261/595/100133941/1026/1029/1191/1312/7852/1843/1956/1958/2026/2034/2247/2321/3169/8321/8522/2719/2950/3162/3315/3399/3488/3570/9118/3757/3815/10365/9314/5594/4176/4683/4808/1728/11315/5187/5366/23532/5629/5664/5727/5728/8434/6591/6622/6670/7015/7020/7980/10626/7220/7431/10810/7473/7709",59
